Features,Model,RMSE,R²,MAE
"GSA,VSA,LCD",SGDRegressor,4.023897617226961,0.8670391794555082,3.0762477074656416
"GSA,VSA,LCD",RandomForest,1.3505663706555835,0.9850217282617736,0.9724746080497211
"GSA,VSA,LCD",GradientBoost,2.2782732616127856,0.9573772498052724,1.7168146266088282
"GSA,VSA,LCD",XGBoost,2.749667001279929,0.9379145196147751,2.08272713651086
"GSA,VSA,PLD",LinearRegression,4.287584712919023,0.8490423001089612,3.3084308957423056
"GSA,VSA,PLD",SGDRegressor,4.2919363452203285,0.8487357192203553,3.310710965970047
"GSA,VSA,PLD",RandomForest,1.5544939733350454,0.9801569728020023,1.1553891252166266
"GSA,VSA,PLD",GradientBoost,2.659071793384833,0.9419382704214195,2.0249281618996764
"GSA,VSA,PLD",XGBoost,3.0143397028748757,0.925387046770607,2.298752603925168
"GSA,VF,PV",LinearRegression,3.607572560251728,0.893128970686429,2.8347011177401624
"GSA,VF,PV",SGDRegressor,3.610231398291693,0.8929713813568174,2.824656246613632
"GSA,VF,PV",RandomForest,1.2413683844351933,0.9873459017178113,0.8426503153444254
"GSA,VF,PV",GradientBoost,1.6667141856850047,0.9771885912834604,1.1720841432028177
"GSA,VF,PV",XGBoost,1.694152262179828,0.9764313491682072,1.1901864708542529
"GSA,VF,LCD",LinearRegression,3.644899346173583,0.8909059858847408,2.784051971493378
"GSA,VF,LCD",SGDRegressor,3.646447743507362,0.8908132772832912,2.8025658060616134
"GSA,VF,LCD",RandomForest,1.1048172216518604,0.9899767003722926,0.7480761821729497
"GSA,VF,LCD",GradientBoost,1.5252017590729448,0.9808977538377928,1.0720118044780425
"GSA,VF,LCD",XGBoost,2.273026655304186,0.9575733345353116,1.72201683354585
"GSA,VF,PLD",LinearRegression,3.6839781121860313,0.8885541438726904,2.8478750891991544
"GSA,VF,PLD",SGDRegressor,3.684386665364594,0.8885294238107916,2.8454053588747237
"GSA,VF,PLD",RandomForest,1.2543552600220482,0.987079748932211,0.8701330987542552
"GSA,VF,PLD",GradientBoost,1.667786814566198,0.9771592208618519,1.1821802524965572
