Features,Model,RMSE,R²,MAE
"VF,PV",XGBoost,2.224354384495113,0.9593708437928173,1.609799550509292
"VF,LCD",LinearRegression,4.366112186022474,0.8434620566794948,3.399706932224171
"VF,LCD",SGDRegressor,4.367685280169316,0.8433492362693941,3.379530635603831
"VF,LCD",RandomForest,1.602303306760311,0.9789176363467541,1.114101301159835
"VF,LCD",GradientBoost,1.6455971331311106,0.9777629646475213,1.151061866377687
"VF,LCD",XGBoost,2.196718361992037,0.960374148941769,1.6193539728367075
"VF,PLD",LinearRegression,4.357684105873668,0.8440658162321548,3.3978240392546866
"VF,PLD",SGDRegressor,4.364758616770129,0.8435591004996734,3.426369822292528
"VF,PLD",RandomForest,1.7707518086468652,0.9742518974329173,1.2602911563980173
"VF,PLD",GradientBoost,1.7778754187203596,0.9740443151125872,1.2594164387228366
"VF,PLD",XGBoost,2.2207225275616693,0.9595034115334489,1.6464459988074618
"PV,LCD",LinearRegression,8.182260957565282,0.45023575010506933,6.731336638363655
"PV,LCD",SGDRegressor,8.188501591674303,0.44939681673011966,6.726425494572125
"PV,LCD",RandomForest,2.391715577045055,0.9530269341803981,1.7911902701194051
"PV,LCD",GradientBoost,2.4768961678637775,0.9496214753618614,1.8554120657235698
"PV,LCD",XGBoost,2.717729255782807,0.9393484056966932,2.0640440846247903
"PV,PLD",LinearRegression,7.868638280846124,0.49157253242759313,6.231619559720285
"PV,PLD",SGDRegressor,7.8778240154215435,0.4903847777971916,6.343757990709469
"PV,PLD",RandomForest,2.663954461188334,0.9417248452552297,2.0088166192376105
"PV,PLD",GradientBoost,2.732610145312746,0.9386823933469032,2.0580697744306073
"PV,PLD",XGBoost,2.8296061610199037,0.9342521088959155,2.144932298825744
"LCD,PLD",LinearRegression,7.699951675095999,0.5131380418891154,6.123689193034036
"LCD,PLD",SGDRegressor,7.70448254593888,0.5125649064323349,6.043060596131534
"LCD,PLD",RandomForest,3.3959609748709196,0.9052988562868756,2.5293090862160805
"LCD,PLD",GradientBoost,3.435432278406787,0.9030846371599138,2.5641957506940245
"LCD,PLD",XGBoost,4.121424341108675,0.8605159638476575,3.068218213538523
"Density,GSA,VSA",LinearRegression,4.257789941214015,0.8511330448480852,3.322754032452481
"Density,GSA,VSA",SGDRegressor,4.261720141709176,0.8508580914004753,3.3069252620503073
"Density,GSA,VSA",RandomForest,2.59802581343977,0.944573587960967,1.9183691508916745
"Density,GSA,VSA",GradientBoost,3.1001753482586647,0.9210772227475407,2.3168183636269895
"Density,GSA,VSA",XGBoost,3.1434036314404787,0.918860907981354,2.3498281074705165
"Density,GSA,VF",LinearRegression,3.6771626465572713,0.888966118525692,2.853362045645519
"Density,GSA,VF",SGDRegressor,3.680200071672132,0.8887826094324733,2.8319090084258853
"Density,GSA,VF",RandomForest,1.4100011787389954,0.9836744134459038,0.9675685145081557
"Density,GSA,VF",GradientBoost,1.6700415848490817,0.9770974197696835,1.179219820283475
"Density,GSA,VF",XGBoost,1.78665334079438,0.9737873798652552,1.2599038362259063
"Density,GSA,PV",LinearRegression,4.1942137629236225,0.8555455369291655,3.294811589884844
"Density,GSA,PV",SGDRegressor,4.196143588851029,0.8554125746541448,3.284975086431605
"Density,GSA,PV",RandomForest,1.3083461550241173,0.9859435656943375,0.9399440188267878
"Density,GSA,PV",GradientBoost,1.6731893756391016,0.9770110021931948,1.2559170194197902
"Density,GSA,PV",XGBoost,1.671892903246568,0.9770466144847387,1.2501186086466682
"Density,GSA,LCD",LinearRegression,4.125662527163506,0.8602289449913174,3.093020865166605
"Density,GSA,LCD",SGDRegressor,4.131627805452071,0.8598244640096814,3.056694789277224
"Density,GSA,LCD",RandomForest,1.5887798403247226,0.9792720055647174,1.1594068234470976
"Density,GSA,LCD",GradientBoost,2.2705494334663165,0.9576657601925558,1.711052533205227
"Density,GSA,LCD",XGBoost,2.864598147349329,0.932615927372915,2.168033911100927
"Density,GSA,PLD",LinearRegression,4.2238874718282835,0.8534943000383852,3.229149276619458
"Density,GSA,PLD",SGDRegressor,4.227278828333165,0.8532589469313808,3.2538134159949954
