Features,Model,MSE,R²
"GSA,VSA,VF,PV",XG_RF,0.13744262466604182,0.9893795368562515
"GSA,VSA,VF,PV",SK_GB,0.04779787905405297,0.9963065634545588
"GSA,VSA,VF,PV",SK_LR,0.25486094349241206,0.9803063913853581
"GSA,VSA,VF,LCD",SK_RF,0.04944848234912319,0.996179018076967
"GSA,VSA,VF,LCD",XG_RF,0.1521584199267841,0.9882424182834839
"GSA,VSA,VF,LCD",SK_GB,0.04866050088057707,0.9962399069618015
"GSA,VSA,VF,LCD",SK_LR,0.619033687428338,0.952166043990749
"GSA,VSA,VF,PLD",SK_RF,0.05464566552970739,0.995777421464891
"GSA,VSA,VF,PLD",XG_RF,0.16217192718949167,0.9874686547943069
"GSA,VSA,VF,PLD",SK_GB,0.051195620144376175,0.9960440132878295
"GSA,VSA,VF,PLD",SK_LR,0.7053027764287262,0.9454998610478693
"GSA,VSA,PV,LCD",SK_RF,0.051774581576583004,0.9959992757941492
"GSA,VSA,PV,LCD",XG_RF,0.22357449091838147,0.9827239573862149
"GSA,VSA,PV,LCD",SK_GB,0.060598555748910495,0.9953174298769434
"GSA,VSA,PV,LCD",SK_LR,0.21254276657773002,0.983576400520625
"GSA,VSA,PV,PLD",SK_RF,0.05528873671628073,0.9957277300838336
"GSA,VSA,PV,PLD",XG_RF,0.23475565230152323,0.9818599669562991
"GSA,VSA,PV,PLD",SK_GB,0.06709004432594977,0.9948158197298145
"GSA,VSA,PV,PLD",SK_LR,0.3019269219117966,0.9766695102479228
"GSA,VSA,LCD,PLD",SK_RF,0.10127744746866964,0.9921740915473095
"GSA,VSA,LCD,PLD",XG_RF,0.497668035730507,0.9615442076710903
"GSA,VSA,LCD,PLD",SK_GB,0.10355976436749584,0.991997732411523
"GSA,VSA,LCD,PLD",SK_LR,0.57673236456781,0.9554347507799541
"GSA,VF,PV,LCD",SK_RF,0.040328147309174896,0.9968837643839134
"GSA,VF,PV,LCD",XG_RF,0.09756018148047658,0.9924613320341603
"GSA,VF,PV,LCD",SK_GB,0.04075039231375814,0.9968511366782091
"GSA,VF,PV,LCD",SK_LR,0.47106558049362063,0.9635998319438591
"GSA,VF,PV,PLD",SK_RF,0.043511947628874156,0.996637745843198
"GSA,VF,PV,PLD",XG_RF,0.10584830920446339,0.9918208920306522
"GSA,VF,PV,PLD",SK_GB,0.04319963487972613,0.9966618788663392
"GSA,VF,PV,PLD",SK_LR,0.6288920238545883,0.9514042708586653
"GSA,VF,LCD,PLD",SK_RF,0.09688874171252397,0.9925132155115467
"GSA,VF,LCD,PLD",XG_RF,0.1990574074911708,0.9846184408593265
"GSA,VF,LCD,PLD",SK_GB,0.09868680772808716,0.9923742753982105
"GSA,VF,LCD,PLD",SK_LR,1.3253523226180437,0.8975874076251962
"GSA,PV,LCD,PLD",SK_RF,0.06521102458828279,0.9949610152971922
"GSA,PV,LCD,PLD",XG_RF,0.2299100795248076,0.982234393937816
"GSA,PV,LCD,PLD",SK_GB,0.06824261957649076,0.9947267579631427
"GSA,PV,LCD,PLD",SK_LR,0.48072149345233434,0.9628537004730258
"VSA,VF,PV,LCD",SK_RF,0.0400427173228495,0.9969058201228608
"VSA,VF,PV,LCD",XG_RF,0.10886567816888697,0.9915877339695658
"VSA,VF,PV,LCD",SK_GB,0.04056542556603509,0.9968654294242316
"VSA,VF,PV,LCD",SK_LR,0.812417256577836,0.937222913548143
"VSA,VF,PV,PLD",SK_RF,0.043336736013056223,0.9966512847909056
"VSA,VF,PV,PLD",XG_RF,0.11513780927696698,0.9911030740074327
"VSA,VF,PV,PLD",SK_GB,0.042951021235187764,0.9966810897338213
"VSA,VF,PV,PLD",SK_LR,0.8341916712844565,0.9355403615055706
"VSA,VF,LCD,PLD",SK_RF,0.2616750107472788,0.9797798549464973
"VSA,VF,LCD,PLD",XG_RF,0.40886960844733994,0.9684058375801174
"VSA,VF,LCD,PLD",SK_GB,0.2641978622879481,0.9795849092237281
"VSA,VF,LCD,PLD",SK_LR,2.327736152711141,0.8201312287341106
"VSA,PV,LCD,PLD",SK_RF,0.06199867887899167,0.9952092395965564
"VSA,PV,LCD,PLD",XG_RF,0.223326138431411,0.9827431480735357
"VSA,PV,LCD,PLD",SK_GB,0.06397268147892304,0.9950567045157604
"VSA,PV,LCD,PLD",SK_LR,1.0139744184959858,0.9216481934443065
"VF,PV,LCD,PLD",SK_RF,0.039609717835838935,0.996939278848669
"VF,PV,LCD,PLD",XG_RF,0.115354320351788,0.9910863437689355
"VF,PV,LCD,PLD",SK_GB,0.040118516674717206,0.9968999629571905
"VF,PV,LCD,PLD",SK_LR,0.8197236169090533,0.9366583366506835
